"Diện tích","Hướng ban công","Hướng nhà","Mặt tiền","Mức giá","Mức giá internet","Mức giá nước","Mức giá điện","Nội thất","Pháp lý","Số phòng ngủ","Số phòng tắm, vệ sinh","Số tầng","Thời gian dự kiến vào ở","Tiện ích","title","url","Đường vào"
"50 m²","","","","2,3 tỷ","","","","","","1 phòng","1 phòng","","","","Siêu hot tại Republic plaza chuẩn khách sạn 5 sao. Chỉ với 2.3tỷ. Liên hệ em: 0844 911 *** k vân","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-cong-hoa-phuong-4-20-prj-republic-plaza/sieu-hot-tai-chuan-khach-san-5-sao-chi-voi-2-25ty-lien-he-em-k-van-pr42872313",""
"130 m²","","Tây - Bắc","6 m","2,2 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","""Cơ hội vàng sở hữu đất nền Đường Phùng Hưng eatam - Vị trí đắc địa, tiềm năng sinh lời vượt trội!""","https://batdongsan.com.vn/ban-dat-phuong-ea-tam/-co-hoi-vang-so-huu-nen-trung-vi-tri-dac-dia-tiem-nang-sinh-loi-vuot-troi-pr42825231","30 m"
"240 m²","","","10 m","8 triệu/tháng","","","","","","","","","","","Cho thuê đất Metro đường Lê Trọng Tấn - 10 x 24m - 8 triệu/tháng","https://batdongsan.com.vn/cho-thue-kho-nha-xuong-dat-duong-le-trong-tan-phuong-tan-an/cho-metro-10-x-24m-8-trieu-thang-pr42831172",""
"95 m²","","","4,5 m","2,99 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Cần bán 4 lô đất đẹp vị trí kinh doanh tốt Gần BV Thánh Tâm P. Tân Biên, Biên Hoà chỉ 2tỷ 990 triệu","https://batdongsan.com.vn/ban-dat-duong-quoc-lo-1-phuong-tan-bien-1/can-ban-gap-dep-vi-tri-kinh-doanh-tot-p-hoa-chi-2ty-990-trieu-pr41952800","7 m"
"122,2 m²","","","","22 tỷ","","","","Cơ bản","Sổ đỏ/ Sổ hồng","","","3 tầng","","","Chỉ 22 tỷ, 180tr/m2 sở hữu ngay căn nhà 122.2m2 đường Điện Biên Phủ, Q10","https://batdongsan.com.vn/ban-nha-rieng-duong-dien-bien-phu-phuong-11-5/chi-22-ty-170tr-m2-so-huu-ngay-can-122m2-q10-pr42918781",""
"99,6 m²","Tây - Bắc","Tây - Bắc","","22,5 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","6 phòng","5 phòng","5 tầng","","","Bán nhà HXH đường Sư Vạn Hạnh, P12, Q10 DT: 7x15m 5 tầng + thang máy - giá 22,5 tỷ","https://batdongsan.com.vn/ban-nha-rieng-duong-su-van-hanh-phuong-12-5/ban-hxh-p12-q10-dt-7x15m-5-tang-thang-may-gia-22-5-ty-pr42346601",""
"22 m²","","","","4,6 tỷ","","","","","Sổ đỏ/ Sổ hồng","2 phòng","3 phòng","4 tầng","","","Nhà lâu năm, nở hậu, ko LG - Bà Hạt - 3.6x6.2m (22m2), 4 tầng - nhỉnh 4 tỷ","https://batdongsan.com.vn/ban-nha-rieng-duong-ba-hat-phuong-4-16/-lau-nam-no-hau-ko-lg-3-6x6-2-22m2-4tang-nhinh-4ty-pr41962908",""
"80 m²","","","","7,8 tỷ","","","","","","","","","","","bán CHCC Everrich Q5 80m2, 2pn 2wc giá 7t8 sổ hồng .nhà mới view thoáng mát.LH 0934 403 ***","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-an-duong-vuong-phuong-4-13-prj-the-everrich-infinity/ban-chcc-q5-80m2-2pn-2wc-gia-7t8-so-hong-nha-moi-view-thoang-mat-lh-pr42922966",""
"68 m²","","","","3,2 tỷ","","","","","","2 phòng","2 phòng","","","","Bán gấp CH Lavita Charm 2PN2WC 3.2 tỷ, an ninh, nội thất chủ đầu tư, view đẹp Call me: 0704 589 ***","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vanh-dai-2-phuong-truong-tho-2-prj-lavita-charm/chinh-chu-gui-ban-2-1pn-va-2pn-gia-1-85-ty-va-2ty4-bao-het-thue-phi-lh-0914647097-pr26151681",""
"60 m²","","","","3,95 tỷ","","","","Full đồ.","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng","","","","Cần bán căn hộ toà CT8 Văn Quán, DT 60m2, 2pn, 1vs, căn góc, giá 3.xx tỷ. LH Kiều Thuý 0949 170 ***","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-khuyen-phuong-phuc-la-prj-khu-do-thi-moi-van-quan/-ban-toa-ct8-dt-60m-2pn-1vs-goc-gia-3-xxx-ty-lh-kieu-thuy-pr42397933",""
"72 m²","","Đông - Nam","","3,5 tỷ","","","","Có máy lạnh","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","","","","Mizuki Park - bán căn hộ 2 phòng ngủ, 2 vệ sinh giá tốt nhất dự án","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-linh-xa-binh-hung-1-prj-mizuki-park/-ban-2-png-ngu-gia-tot-nhat-du-an-pr39436627",""
"292 m²","","","19,7 m","17 triệu/m²","","","","","Sổ đỏ/ sổ hồng.","","","","","","Bán 292m2 dãy B mặt tiền đường xuống biển Phạm Thanh Tùng dự án Diamond Bay Phan Thiết","https://batdongsan.com.vn/ban-dat-nen-du-an-duong-vo-nguyen-giap-phuong-phu-hai-1-prj-diamond-bay-phan-thiet/b-292m2-day-b-mat-tien-ong-xuong-bien-pham-thh-tung-ph-thiet-pr42805563",""
"38 m²","","","","Thỏa thuận","","","","Đầy đủ","Hợp đồng mua bán","1 phòng","1 phòng","","","","Em cần bán căn studio view biển đẹp như hình ở Ocean Vista giá chỉ 1 tỷ X50/căn","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-dinh-chieu-phuong-ham-tien-prj-ocean-vista/em-ban-studio-view-bien-dep-o-vista-pr39729630",""
"35 m²","","","","5,8 triệu/tháng","","","","Đầy đủ","","","","","","","Khai trương siêu phẩm Studio rộng 35m2 siêu rộng đường Nguyễn Gia Trí, quận Bình Thạnh","https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-duong-nguyen-gia-tri-phuong-25/khai-truong-sieu-pham-studio-rong-35m2-sieu-rong-quan-binh-thanh-pr42925166",""
"39 m²","Tây - Nam","Tây - Nam","3 m","7,95 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","5 phòng","4 phòng","4 tầng","","","Nhà phố 3 lầu 5 phòng full nội thất cao cấp hẻm nhựa 6m, xe hơi vào tận nhà khu VIP Phan Xích Long","https://batdongsan.com.vn/ban-nha-rieng-duong-phan-xich-long-phuong-7-11/-pho-3-lau-5-phong-full-noi-that-cao-cap-hem-nhua-6m-xe-hoi-vao-tan-khu-vip-long-pr42909434","6 m"
"64 m²","","","5 m","7,9 tỷ","","","","Không nội thất","Sổ đỏ/ Sổ hồng","","","","","","Bán Nhà nát khu vip 137/87 Lê Văn Sỹ 5x13m sát Huỳnh Văn Bánh - Trần Hữu Trang chỉ 7,9 Tỷ","https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-sy-phuong-13-9/ban-nat-khu-vip-137-87-5x13-sat-huynh-banh-tran-huu-trang-chi-7-9-ty-pr41603985","3 m"
"170 m²","","Đông - Bắc","5 m","4 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","170m2(5x33m)150m thổ cư giá 4 tỷ nhựa thông gần QL 13","https://batdongsan.com.vn/ban-dat-duong-thuan-giao-12-phuong-thuan-giao/170m2-5x33m-150m-tho-cu-gia-4-ty-nhua-thong-gan-ql-13-pr42840640","5 m"
"1.000 m²","","","18 m","250 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Bán hoặc bao xây tòa VP/KS tại mặt phố Kim Mã, Ngọc Khánh, Ba Đình, Hà Nội, 250 tỷ, 1000m2","https://batdongsan.com.vn/ban-dat-pho-kim-ma-phuong-ngoc-khanh/ban-dep-tai-ba-dinh-ha-noi-250-ty-1000m2-pr41827838",""
"700 m²","","","30 m","Thỏa thuận","","","","","","","","","","","Cho thuê mặt bằng kinh doanh phố Giảng Võ DT 350m2x2tầng. Mặt tiền lô góc 30m. Mọi mô hình KD","https://batdongsan.com.vn/cho-thue-sang-nhuong-cua-hang-ki-ot-pho-giang-vo-phuong-cong-vi/cho-mat-bang-kinh-doanh-dt-350m2x2tang-mat-tien-lo-goc-30m-moi-mo-hinh-kd-pr41926620",""
"415 m²","","","17,15 m","45 tỷ","","","","Cơ bản","Sổ đỏ/ Sổ hồng","3 phòng","4 phòng","3 tầng","","","Giá Tốt chỉ 45Tỷ sở hữu ngay biệt thự cao cấp khu compound Riviera Cove, Q9, LH 0938 416 ***","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-d3-phuong-phuoc-long-b-prj-riviera-cove/gia-tot-chi-45ty-so-huu-ngay-cao-cap-khu-compound-q9-lh-pr42652462","20 m"
"94,65 m²","","Tây - Nam","6 m","7,3 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng","","","","Siêu vip! Nhà cấp 4 mặt tiền đường 102 ngay Man Thiện, P. Tăng Nhơn Phú A, 94.65m2","https://batdongsan.com.vn/ban-nha-mat-pho-duong-102-phuong-tang-nhon-phu-a/sieu-vip-cp-4-tien-102-ngy-mn-thien-p-94-65m2-pr41384243",""
"120 m²","","","6 m","500 triệu","","","","","Sổ đỏ/ Sổ hồng","","","","","","Cần bán gấp lô đấy MTĐ.Trương Văn Kỉnh, P.1, gần trường ĐH TP.Trà Vinh. DT 120m2, giá 500tr, SHR.","https://batdongsan.com.vn/ban-dat-duong-truong-van-kinh-phuong-1_4/can-ban-gap-lo-day-mtd-p-1-gan-dh-tp-tra-vinh-dt-120m2-gia-500tr-shr-pr42924197",""
"111,98 m²","Tây - Nam","Đông - Bắc","","Thỏa thuận","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","","","","Tư vấn giai đoạn 2 tháng 5 mở bán CĐT! 200 căn chuyển nhượng giá từ 7 tỷ - 8tỷ tại The Matrix One","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-quang-dao-phuong-me-tri-prj-the-matrix-one/200-chuyen-nhuong-gia-cat-lo-tot-nhat-thi-truong-gia-tu-4-9-ty-6-5-ty-tai-one-pr39195725",""
"50 m²","","","","6 tỷ","","","","","Sổ đỏ/ Sổ hồng","4 phòng","","","","","SÁT MT ÔNG ÍCH KHIÊM, HXH ĐẬU, 50M2 CHỈ 6 TỶ, NGAY NGÃ TƯ LÃNH BINH THĂNG, GÓC 2 MT HẺM THÔNG","https://batdongsan.com.vn/ban-nha-rieng-duong-ong-ich-khiem-phuong-14-6/sat-mt-hxh-dau-50m2-chi-6-ty-ngay-nga-tu-lanh-binh-thang-goc-2-mt-hem-th-pr42883485",""
"75 m²","Đông - Nam","Đông - Nam","5 m","9,4 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","5 phòng","5 phòng","5 tầng","","","Bán căn SHOPHOUSE HIM LAM 5 tầng đường 30m giá siêu rẻ đã có gói thuê 25 triệu.LH: 0965 308 ***","https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-phuong-dai-phuc-prj-him-lam-green-park/ban-can-5-tang-duong-30m-gia-sieu-re-da-co-goi-thue-25-trieu-lh-pr42264307","30 m"
"192 m²","","","6 m","Thỏa thuận","","","","","Sổ đỏ/ Sổ hồng","","","","","","Đất khu dân cư ADB - TP Tam Kỳ. LH 0932 152 ***","https://batdongsan.com.vn/ban-dat-duong-phan-khoi-phuong-tan-thanh-6/-khu-dan-cu-adb-tp-tam-ky-lh-pr42406840","20 m"
"81 m²","Đông - Nam","Đông - Nam","","8,9 tỷ","","","","Không nội thất","Sổ đỏ/ Sổ hồng","3 phòng","3 phòng","3 tầng","","","Nhà bán mặt tiền Hoàng Văn Thụ, giá 8,9 tỷ","https://batdongsan.com.vn/ban-nha-mat-pho-duong-hoang-van-thu-phuong-7-13/-ban-tien-gia-8-9-ty-pr42877010","20 m"
"144,9 m²","","","5,3 m","1,7 tỷ","","","","","Sổ đỏ/ Sổ hồng.","","","","","","Cần bán đất tặng nhà cấp 4 Phường Long Tâm, BRVT","https://batdongsan.com.vn/ban-dat-pho-ly-thuong-kiet-phuong-long-tam/can-ban-tang-nha-cap-4-brvt-pr42914261",""
"118 m²","","Đông","8,5 m","3,77 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Nền 118m2 - 2 mặt tiền ngang 8.5m - Biconsi, Tân Bình, Dĩ An. Giá 3,77 tỷ. LH: 0909 290 ***","https://batdongsan.com.vn/ban-dat-nen-du-an-phuong-tan-binh-prj-khu-dan-cu-dich-vu-tan-binh/-118m2-2-mat-tien-ngg-8-5m-bicosi-t-di-gia-3-77-ty-lh-pr42375482","8 m"
"84 m²","Tây","Tây","4 m","4,55 tỷ","","","","- Tặng full nội thất.","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","2 tầng","","","Cần bán gấp căn nhà Đông Hòa đẹp, 84m2, 1 trệt 1 lầu, giá 4,55 tỷ, ngay sân vận động, sổ hồng riêng","https://batdongsan.com.vn/ban-nha-rieng-duong-ha-huy-giap-phuong-dong-hoa/can-ban-gap-can-dep-84m2-1-tret-1-lau-gia-4ty55-ngay-san-van-so-hong-rieng-pr42914783","6 m"
"64 m²","Đông - Nam","Đông - Nam","","3,5 tỷ","","","","","Hợp đồng mua bán","2 phòng","2 phòng","","","","MUA LÀ THẮNG- Ở LÀ SƯỚNG TẠI PHÂN KHÚC MỚI MỞ BÁN GIÁ TỐT NHẤT TRONG ĐẠI ĐÔ THỊ OCP CHỈ TỪ 5x nhỏ","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-bien-xanh-xa-nghia-tru-prj-masteri-trinity-square/mua-la-thang-o-la-suong-tai-phan-khuc-moi-mo-ban-gia-tot-nhat-trong-dai-do-thi-ocp-chi-tu-5x-nho-pr42907331",""
"72 m²","Đông - Nam","Tây - Bắc","","4,55 tỷ","","","","","Hợp đồng mua bán","2 phòng","2 phòng","","","","Bán căn hộ The Song tầng 31 view biển full nội thất xách vali vào là ở, chưa từng qua sử dụng","https://batdongsan.com.vn/ban-condotel-pho-thi-sach-phuong-thang-tam-prj-the-song/ban-can-ho-tang-31-view-bien-full-noi-that-xach-vali-vao-la-o-chua-tung-qua-su-dung-pr42925490",""
"145 m²","","","6,8 m","20 triệu/tháng","","","","","","","","","","","Mặt tiền Thống Nhất P3 Tp Vũng Tàu, phù hợp KD ăn uống, quán nhậu, 7mx22m DT 145m2 giá chỉ 20tr","https://batdongsan.com.vn/cho-thue-sang-nhuong-cua-hang-ki-ot-duong-thong-nhat-phuong-3-23/mat-tien-p3-tp-vung-tau-phu-hop-kd-an-uong-quan-nhau-7mx22m-dt-145m2-gia-chi-20tr-pr42711503",""
"127 m²","","","","370 triệu","","","","","Sổ đỏ/ Sổ hồng","","","","","","Bán lô đất gần đồi thông Phan Đình Phùng. Giá nguyên lô 3xx","https://batdongsan.com.vn/ban-dat-xa-ia-der/ban-lo-gan-doi-thong-phan-dinh-phung-gia-nguyen-lo-3xx-pr42899470","6 m"
"45 m²","","","","4,15 tỷ","","","","","Sổ đỏ/ Sổ hồng","3 phòng","3 phòng","3 tầng","","","Nhà trung tâm ngay chợ đêm, gần bờ sông, chợ đầu mối P8, DT 3x15m, gồm 3 tầng ST, giá 4,15 tỷ","https://batdongsan.com.vn/ban-nha-rieng-duong-phan-ngoc-tong-phuong-an-hoi-1/-trung-tam-ngay-cho-dem-gan-bo-song-cho-dau-moi-p8-dt-3x15m-gom-3-tang-st-gia-4ty150-pr42317042","3 m"
"30 m²","","","7,6 m","6,7 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","3 phòng","5 tầng","","","Giảm 300tr - Bán nhà Ái Mộ - oto qua cửa - 5 tầng full nội thất - gần công viên","https://batdongsan.com.vn/ban-nha-rieng-duong-ai-mo-phuong-bo-de/giam-300tr-ban-oto-qua-cua-5-tang-full-noi-that-gan-cong-vien-pr42636985","3 m"
"50 m²","","Đông - Bắc","5 m","8,75 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Bán đất C17 Bộ Công An, 8,75 tỷ, 50m2, Ngọc Thụy, Long Biên, Hà Nội","https://batdongsan.com.vn/ban-dat-nen-du-an-duong-ngoc-thuy-phuong-ngoc-thuy-prj-c17-bo-cong-an/b-8-75-ty-50m2-long-bien-ha-noi-pr42879979","2,5 m"
"36 m²","","","4,5 m","4,75 tỷ","","","","","","4 phòng","3 phòng","5 tầng","","","Bán nhà đẹp tại Thanh Am, phân khúc hiếm. Giá cả hợp lý. Ô tô đỗ cửa","https://batdongsan.com.vn/ban-nha-rieng-duong-thanh-am-phuong-thuong-thanh-1/ban-dep-tai-phan-khuc-hiem-gia-ca-hop-ly-o-to-do-cua-pr42131162",""
"120 m²","","","7 m","Thỏa thuận","","","","","","","","","","","Bán đất phân lô xây văn phòng 120m2 MT 7m TDC Giang Biên - Việt Hưng - phố Nguyễn Khắc Viện","https://batdongsan.com.vn/ban-dat-phuong-viet-hung-2/ban-phan-lo-xay-van-phong-tdc-giang-bien-pho-nguyen-khac-vien-120m2-mt7m-pr42779005","13,5 m"
"65 m²","Đông","Đông","","Thỏa thuận","","","","Đầy đủ.","Sổ đỏ/ Sổ hồng.","2 phòng","2 phòng","","","","Ngộp bank bán gấp căn hộ 2PN view trực diện biển Mỹ Khê Đà Nẵng - sổ hồng lâu dài - LVCC","https://batdongsan.com.vn/ban-condotel-duong-duong-dinh-nghe-phuong-phuoc-my-prj-a-la-carte-hotel/ngop-bank-ban-gap-can-ho-2pn-view-truc-dien-bien-khe-da-nang-so-hong-lau-dai-lvcc-pr39306623",""
"62 m²","","Tây - Bắc","","3,5 tỷ","","","","","","2 phòng","2 phòng","3 tầng","","","Cần bán nhà gác lửng. DT 62m2. Khu vực Mân Thái Sơn Trà","https://batdongsan.com.vn/ban-nha-rieng-phuong-man-thai/can-ban-gac-lung-dt-62-khu-vuc-son-tra-pr42877296",""
"236 m²","","","7 m","19 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","45 phòng","","8 tầng","","","Hàng hiếm chính chủ cần bán khách sạn mặt đường Thanh Niên Sầm Sơn, kinh doanh được ngay","https://batdongsan.com.vn/ban-nha-rieng-duong-thanh-nien-1-phuong-bac-son-19/hang-hiem-chinh-chu-can-ban-khach-san-mat-sam-kinh-doanh-duoc-ngay-pr42526776","32 m"
"82 m²","","","","6,45 tỷ","","","","Đầy đủ","Hợp đồng mua bán","2 phòng","2 phòng","","","","Chuyên bán căn hộ Saigon Royal giá tốt. Studio 2.6 tỷ | 1PN+1 5 tỷ | 2PN 6.45 tỷ | 3PN 12.5 tỷ","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ben-van-don-phuong-12-prj-saigon-royal-residence/chuyen-ban-gia-tot-studio-2-6-ty-1pn-1-4-6-ty-2pn-6-1ty-3pn-12-5-ty-pr42263461",""
"40 m²","","","4 m","4,95 tỷ","","","","","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","2 tầng","","","Bán nhà 2 tầng, khu 38ha Tân Thới Nhất, Quận 12, đối diện công viên Thuận Kiều. Chỉ 4,950 tỷ","https://batdongsan.com.vn/ban-nha-rieng-duong-phan-van-hon-phuong-tan-thoi-nhat-1/ban-2-g-khu-38ha-t-quan-12-doi-dien-cong-vien-thuan-kieu-chi-4-950-trieu-pr42899396","5 m"
"150 m²","","Tây","5 m","390 triệu","","","","","Sổ đỏ/ Sổ hồng","","","","","","ĐẤT VIEW NÚI BÀ, SÁP NHẬP LÊN PHƯỜNG BÌNH MINH GIÁ CHỈ 3XX GẦN SÁT TRỤC DT785 HƯỚNG VỀ TP TÂY NINH.","https://batdongsan.com.vn/ban-dat-duong-785-xa-thanh-tan-6/-view-nui-ba-sap-nhap-len-phuong-binh-minh-gia-chi-3xx-gan-sat-truc-dt785-huong-ve-tp-tay-ninh-pr42836478","8 m"
"150 m²","","Đông - Bắc","5 m","10,5 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","3 phòng","2 tầng","","","Giảm 2 tỷ mặt tiền kinh doanh ngay Vincom Quận 9, DT 150m2 ngang 11m full nội thất. Đường ôtô thông","https://batdongsan.com.vn/ban-nha-rieng-duong-tan-lap-2-phuong-hiep-phu/ban-lo-mat-tien-kinh-doanh-ngay-vincom-quan-9-dt-143m2-no-hau-11m-chi-hon-10ty-pr38654276","6 m"
"138 m²","","Đông - Nam","5 m","2,8 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Hàng hiếm tại Bossco Gia Lai, 2.8 tỷ, 138m2, đất nền dự án đẹp","https://batdongsan.com.vn/ban-dat-nen-du-an-duong-ly-nam-de-phuong-tra-ba-prj-bossco-gia-lai/hg-hiem-tai-3-ty-138m2-dep-pr42507550","16 m"
"70 m²","","","","5 triệu/tháng","Thỏa thuận","","Do chủ nhà quy định","","","2 phòng","2 phòng","1 tầng","1 - 2 tuần","","Chính chủ cho thuê nhà trọ nội thất đầy đủ tại khu Biển Hồ, Pleiku, Gia Lai. Giá cực tốt","https://batdongsan.com.vn/cho-thue-nha-tro-phong-tro-xa-tan-son-7/chinh-chu-cho-noi-that-day-du-tai-khu-bien-ho-pleiku-gia-lai-gia-cuc-tot-pr42826275",""
"145 m²","","Tây - Bắc","5 m","11,8 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Bán đất mặt tiền đường Ký Con, Phường 4, TP. Vũng Tàu với 145m2 ngang 5m thổ cư chỉ 11.8 tỷ","https://batdongsan.com.vn/ban-dat-duong-ky-con-phuong-4-21/ban-mat-tien-4-tp-vung-tau-voi-145m2-ngang-5m-tho-cu-chi-11-8-ty-pr42364807","9 m"
"115 m²","","","","8 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","","","","Bán căn hộ 3PN 2WC có sổ đỏ tại Hòa Bình Green City, 505 Minh Khai. DT 115m2 tầng đẹp full nội thất","https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-mac-thi-buoi-phuong-vinh-tuy-prj-hoa-binh-green-city/ban-3pn-2wc-co-so-do-tai-a-505-minh-khai-dt-115m2-tang-dep-full-noi-that-pr41519063",""
"186 m²","","","8 m","77 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","5 phòng","5 phòng","5 tầng","","","Bán ngay Siêu phẩm Hoa hậu mặt phố Trích Sài - Tây Hồ 146m2 x 5 tầng - mặt tiền 8m - giá 77 tỷ","https://batdongsan.com.vn/ban-nha-mat-pho-duong-trich-sai-phuong-buoi/ban-ngay-sieu-pham-hoa-hau-tay-ho-186m2-x-5-tang-tien-8m-gia-93-ty-pr42891607?source=ad&adid=2995879","15 m"
"16.895 m²","","Bắc","","2,9 triệu/m²","","","","","Sổ đỏ/ Sổ hồng","","","","","","Bán gấp đất trồng 16.895m2, đất ở 330 tại Hưng Lộc, Thống Nhất, Đồng Nai, giá cực chất 2,9 triệu/m2","https://batdongsan.com.vn/ban-dat-xa-hung-loc-1/ban-gap-trong-16-895m2-o-330-tai-thong-nhat-dong-nai-gia-cuc-chat-2-9-trieu-m2-pr42865948",""
"100,2 m²","","","","Thỏa thuận","","","","","","","","","","","Cần bán nhanh đất nền dự án Dragon Dream City Thống Nhất, Đồng Nai - pháp lý rõ ràng minh bạch","https://batdongsan.com.vn/ban-dat-nen-du-an-duong-quoc-lo-1a-xa-hung-loc-1-prj-dragon-dream-city/c-b-nhh-thong-nhat-dong-nai-phap-ly-ro-rg-minh-bach-pr40249245",""
"290 m²","","","7 m","19,3 tỷ","","","","","Sổ đỏ/ Sổ hồng","5 phòng","6 phòng","3 tầng","","","Bán căn biệt thự 290 m2 sát sông Hàn gần kề công viên Châu Á, trung tâm Hải Châu, Đà Nẵng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-hoa-cuong-nam-prj-elysia-complex-city/ban-can-230m2-sat-song-han-gan-cong-vien-chau-a-doi-lung-mat-tien-thang-long-pr41719869","16 m"
"105 m²","","","7 m","40 triệu/tháng","","","","","","3 phòng","3 phòng","3 tầng","","","Cho thuê nhà mặt tiền Hoàng Diệu ngang 7m trung tâm TP","https://batdongsan.com.vn/cho-thue-nha-mat-pho-duong-hoang-dieu-phuong-hai-chau_1/cho-tien-ngang-7m-trung-tam-tp-pr42140280",""
"41 m²","","Đông","4 m","3,75 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","4 phòng","3 tầng","","","Bán nhà riêng tại Tiểu La, Hải Châu, Đà Nẵng, 3,75 tỷ, 41m2, giá ưu đãi","https://batdongsan.com.vn/ban-nha-rieng-duong-tieu-la-phuong-hai-chau_1/ban-tai-chau-da-nang-3-75-ty-41m2-gia-uu-dai-pr42823132","3 m"
"100 m²","","Tây - Nam","5 m","7,1 tỷ","","","","Cơ bản","Sổ đỏ/ Sổ hồng","4 phòng","3 phòng","3 tầng","","","Bán nhà 3 tầng đường Nguyễn Mậu Tài - Hòa Xuân - Cẩm Lệ ngay đầu cầu Hòa Xuân","https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-mau-tai-phuong-hoa-xuan/ban-3-tang-cam-le-ngay-dau-cau-pr42561766","7,5 m"
"2.000 m²","","","18,4 m","12,5 tỷ","","","","","Sổ đỏ/ Sổ hồng.","","","","","","Bán lô đất ở 2000m2 mặt tiền, ngay đầu đường Cây Thông Trong, đối diện dư án thương mại giá quá tốt","https://batdongsan.com.vn/ban-dat-duong-cay-thong-trong-xa-cua-duong/ban-lo-o-2000m2-mat-tien-ngay-dau-doi-dien-du-an-thuong-mai-gia-qua-tot-pr42735443","20 m"
"180 m²","","Tây - Nam","6 m","Thỏa thuận","","","","","Sổ đỏ/ Sổ hồng","","","","","","Đất hiệp an nằm ngay trường học giá rẻ","https://batdongsan.com.vn/ban-dat-duong-hiep-an-phuong-hiep-an/-nam-ngay-truong-hoc-gia-re-pr42666949","4 m"
"79 m²","","","","24 triệu/m²","","","","","Có sổ.","2 phòng","2 phòng","","","","Sở hữu căn hộ resort 5 sao ngay thành phố Thủ Dầu Một, giá 24tr/m2 đã trừ CK C SkyView Chánh Nghĩa","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-chanh-nghia-prj-c-skyview/so-huu-resort-5-sao-ngay-thanh-p-thu-dau-mot-gia-hi-tu-23tr-m2-nghia-pr40457271",""
"154,3 m²","Tây - Nam","Tây - Nam","7 m","13,8 tỷ","","","","Không nội thất","Sổ đỏ/ Sổ hồng","1 phòng","1 phòng","1 tầng","","","Chính chủ bán nhà nguyên căn 154.3m2, thổ cư full tại Trung tâm Thủ Dầu Một","https://batdongsan.com.vn/ban-nha-rieng-duong-30-4-1-phuong-phu-tho/chinh-chu-ban-nguyen-can-154-3m2-cu-full-tai-trung-tam-binh-duong-pr42842917","5 m"
"52 m²","","","","5,1 tỷ","","","","","","","","","","","cần bán nhà HXH đường phạm đăng giảng DT 4x13m có gác lửng, giá bán 5,1 tỷ bớt lộc.LH 0917 631 ***","https://batdongsan.com.vn/ban-nha-rieng-duong-pham-dang-giang-phuong-binh-hung-hoa/can-ban-hxh-dt-4x13m-co-gac-lung-gia-ban-5-1-ty-bot-loc-lh-pr42922457",""
"160 m²","","","5 m","700 triệu","","","","","Sổ đỏ/ Sổ hồng","","","","","","BÁN NHANH ĐẤT NỀN __Mặt Tiền Đường Tân phú phường Tân Hòa TPVL","https://batdongsan.com.vn/ban-dat-duong-tan-phu-phuong-tan-hoa_1/ban-nhanh-nen-mat-tien-ong-hoa-tpvl-pr42858984",""
