"Description","Location","Price","Price per m²","Space","Title"
"1 PN • Chung cư","Quận Nam Từ Liêm • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","Bán căn hộ 1PN view đẹp tại The Sapphire - Smart City, 2,27 tỷ, 27,4m2"
"3 PN • Nhà ngõ, hẻm","Huyện Chương Mỹ • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","Chính chủ bán nhà xây mới tại Ngọc Hoà, Chương Mỹ, Hà Nội sát QL 6"
"3 PN • Nhà mặt phố, mặt tiền","Quận Nam Từ Liêm • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","Mỹ Đình - 3 bước ra Lê Đức Thọ - Oto vào nhà - Kinh Doanh - 12.7 tỷ"
"4 PN • Nhà ngõ, hẻm","Quận Thanh Xuân • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","Nhà riêng Khương Trung ô tô đỗ cửa, 1 phút ra phố, 2 thoáng 45m2*4T"
"1 PN • Chung cư","Huyện Gia Lâm • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","RẺ NHẤT THỊ TRƯỜNG, Căn Studio 31m2, bán chỉ 1.68 tỷ tại VHOCP"
"4 PN • Nhà ngõ, hẻm","Quận Thanh Xuân • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","BÁN NHÀ SIÊU ĐẸP CÓ THANG MÁY - Ô TÔ ĐỖ CỔNG - THANH XUÂN - 7.9 TỶ"
"4 PN • Nhà mặt phố, mặt tiền","Quận Hoàng Mai • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","Định Công-Ô tô đỗ cửa , view hồ , 4 ngủ , nở hậu"
"4 PN • Nhà mặt phố, mặt tiền","Quận Cầu Giấy • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","Hiếm Cầu Giấy - Mặt Phố - Vỉa Hè ÔTÔ- Thang Máy - Kinh Doanh - 20.4 tỷ"
"2 PN • Chung cư","Quận Long Biên • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","Eco Home Phúc Lợi 2 ngủ 45m ở luôn, sang tên luôn."
"Đất thổ cư","Huyện Thanh Trì • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","HƠN 4 TỶ , SIÊU PHẨM ĐẤT THỔ CƯ , LÔ GÓC - GẦN CHỢ TỰ KHOÁT - NGŨ HIỆP"
"2 PN • Hướng Tây • Chung cư","Quận Nam Từ Liêm • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","Bán CC Mon City, 5,4 tỷ, 67m2, 2PN, 2WC tại Hàm Nghi, Mỹ Đình 2,"
"1 PN • Chung cư","Huyện Thanh Trì • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","Chỉ 1.26 tỷ sở hữu ngay căn 36m2 T12 chung cư Đại Thanh full nội thất"
"3 PN • Nhà ngõ, hẻm","Quận Long Biên • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","Bán nhà Ngọc Thụy - 33m x 5 tầng, Nhà đẹp - Ở sướng - Nhỉnh 5 tỷ"
"3 PN • Nhà ngõ, hẻm","Quận Long Biên • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","Siêu phẩm! Bán nhà Bồ Đề , 32m x 5 tầng. Gần Phố - Gần ô tô - Hơn 6 tỷ"
"3 PN • Nhà ngõ, hẻm","Quận Long Biên • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","🏡 Bán Nhà Ngọc Thụy – 40m² x 5 Tầng, Đẹp Mới, Ô Tô Gần – Chỉ Hơn 5 Tỷ!"
"3 PN • Nhà ngõ, hẻm","Quận Long Biên • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","Bán Nhà Bồ Đề–33m² x5 Tầng– 6 Tỷ! 🌿 Tổ Ấm Hoàn Hảo,Tiện Ích Ngập Tràn!"
"4 PN • Nhà ngõ, hẻm","Quận Long Biên • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","Bán nhà Nguyễn Văn Cừ - Gara ô tô - Ngõ Thông - Gần cầu - Hơn 7 tỷ!"
"4 PN • Nhà mặt phố, mặt tiền","Quận Long Biên • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","Cực Gấp! Bán nhà Ngọc Thụy - 44m x 5 tầng - Ô tô - Lô Góc - Hơn 6 tỷ"
"3 PN • Nhà ngõ, hẻm","Quận Long Biên • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","Bán nhà Ngọc Lâm - 39m x 5 tầng - Gần phố - Nhà mới ở luôn. Nhỉnh 6 tỷ"
"4 PN • Nhà ngõ, hẻm","Quận Long Biên • 4 ngày trước","2,27 tỷ","83 tr/m²","27 m²","Bán nhà Ngọc Thụy- Long Biên- Ô tô gần - 47m x 5 tầng - Nhà mới - 6 tỷ"
"3 PN • Nhà ngõ, hẻm","Quận Hà Đông • 17 giờ trước","5,35 tỷ","153 tr/m²","35 m²","BÁN NHÀ PHÚ LƯƠNG HĐHN XÂY MỚI LÔ GÓC OTO VÀO NHÀ DT35M X GIÁ 5.35 TỶ"
"3 PN • Nhà ngõ, hẻm","Quận Hà Đông • 17 giờ trước","5,35 tỷ","153 tr/m²","35 m²","Bán nhà Phú Lãm Hà Đông HNxây mới kinh doanh oto dt35m x giá 5.35 tỷ"
"10 PN • Căn hộ dịch vụ, mini","Quận Ba Đình • 17 giờ trước","5,35 tỷ","153 tr/m²","35 m²","CCMN ĐƯỜNG BƯỞI, OTO 5 TẠ ĐỖ CỬA, 10 PKK GÁC XÉP FULL ĐỒ, PCCC ĐẦY ĐỦ"
"3 PN • Nhà ngõ, hẻm","Quận Hà Đông • 17 giờ trước","5,35 tỷ","153 tr/m²","35 m²","Bán nhà Phố Xốm phú lãm hà đông hn xây mới oto nhà dt35m x giá 5.4 tỷ"
"5 PN • Nhà ngõ, hẻm","Quận Hà Đông • 18 giờ trước","5,35 tỷ","153 tr/m²","35 m²","Cực hiếm. nhà xây mới 5 tầng đầy đủ nội thất. gần chợ"
"Đất thổ cư","Quận Hà Đông • 18 giờ trước","5,35 tỷ","153 tr/m²","35 m²","Đất Hà Nội Sẵn Sổ - Hơn 10Triệu/M2"
"2 PN • Nhà ngõ, hẻm","Quận Hà Đông • 18 giờ trước","5,35 tỷ","153 tr/m²","35 m²","🔥 SỐC! ĐẤT + 2 NHÀ CHỈ 2,5 TỶ TẠI HÀ ĐÔNG – NGHE NHƯ ĐÙA MÀ LÀ THẬT! 🔥"
"Mặt bằng kinh doanh • Hoàn thiện cơ bản","Quận Đống Đa • 18 giờ trước","5,35 tỷ","153 tr/m²","35 m²","bán nhà mặt tiền phố đống đa"
"3 PN • Hướng Đông • Nhà ngõ, hẻm","Quận Hai Bà Trưng • 18 giờ trước","5,35 tỷ","153 tr/m²","35 m²","Can ban can nha rieng"
"4 PN • Nhà ngõ, hẻm","Quận Bắc Từ Liêm • 18 giờ trước","5,35 tỷ","153 tr/m²","35 m²","BÁN NHÀ HỒ TÙNG MẬU 52M x 7T, TM – GARA Ô TÔ – KD – FULL NT, GIÁ 15,9"
"2 PN • Chung cư","Quận Hà Đông • 18 giờ trước","5,35 tỷ","153 tr/m²","35 m²","HƠN 3 TỶ! CĂN XUÂN MAI COMPLEX DƯƠNG NỘI, 2 NGỦ, 2 WC, FULL NỘI THẤT"
"Đất thổ cư • Ngang 12.5 m","Quận Long Biên • 18 giờ trước","5,35 tỷ","153 tr/m²","35 m²","bán đất tặng Biệt Thự sân vườn - Ngọc Thuỵ, 3 thoáng, gara, ô tô tranh"
"3 PN • Nhà ngõ, hẻm","Quận Hai Bà Trưng • 18 giờ trước","5,35 tỷ","153 tr/m²","35 m²","Bán nhà phố Vọng 36m 5 tầng hơn 8 tỷ thang máy đẹp ở ngay"
"Văn phòng • Nội thất đầy đủ","Quận Long Biên • 18 giờ trước","5,35 tỷ","153 tr/m²","35 m²","mặt phố Ngọc Thuỵ, 8 tầng, 1 hầm, pccc chuẩn, văn phòng, dòng tiền."
"2 PN • Chung cư","Quận Hà Đông • 18 giờ trước","5,35 tỷ","153 tr/m²","35 m²","3 TỶ HƠN! CĂN HỘ XUÂN MAI DƯƠNG NỘI, 2 NGỦ, 2 WC, FULL NỘI THẤT"
"5 PN • Nhà ngõ, hẻm","Quận Hoàng Mai • 18 giờ trước","5,35 tỷ","153 tr/m²","35 m²","Bán nhà phố Lê Trọng Tấn 50m 5 tầng hơn 9 tỷ gần ô tô thoáng ở ngay"
"4 PN • Nhà ngõ, hẻm","Quận Bắc Từ Liêm • 18 giờ trước","5,35 tỷ","153 tr/m²","35 m²","NGUYỄN ĐẠO AN 30M2 NHÀ ĐẸP LÔ GÓC, NGÕ NÔNG RỘNG GẦN ÔTÔ, GẦN HỒ 6.5TỶ"
"5 PN • Nhà ngõ, hẻm","Quận Thanh Xuân • 18 giờ trước","5,35 tỷ","153 tr/m²","35 m²","Bán Nhà 52 M Nguyễn Trãi - KINH DOANH - Ô TÔ - NGÕ THÔNG - 5.x tỷ"
"3 PN • Nhà ngõ, hẻm","Quận Thanh Xuân • 18 giờ trước","5,35 tỷ","153 tr/m²","35 m²","Bán nhà đẹp 46m2, Lô Góc, Bùi Xương Trạch, Khương Đình, Thanh Xuân"
"2 PN • Hướng Đông • Nhà ngõ, hẻm","Quận Đống Đa • 18 giờ trước","5,35 tỷ","153 tr/m²","35 m²","Nhà ngõ nông Thông Phong, Quận Đống Đa 2 Tầng Kép Kín"
"2 PN • Hướng Tây • Nhà ngõ, hẻm","Quận Hai Bà Trưng • hôm qua","5,6 tỷ","192 tr/m²","29 m²","Bán nhà Dương Văn Bé 30m2"
"4 PN • Nhà ngõ, hẻm","Quận Bắc Từ Liêm • hôm qua","5,6 tỷ","192 tr/m²","29 m²","NHÀ ĐẸP GẦN PHỐ, Hồ Tùng Mậu, Bắc Từ Liêm DT 45m², MT 6.8m.Giá 7.6 tỷ"
"5 PN • Nhà ngõ, hẻm","Quận Thanh Xuân • hôm qua","5,6 tỷ","192 tr/m²","29 m²","Gấp, vương thừa vũ, lô góc, ô tô, KD, dân xây, 52m2, 5T, 12.9 tỷ"
"4 PN • Nhà ngõ, hẻm","Huyện Hoài Đức • hôm qua","5,6 tỷ","192 tr/m²","29 m²","nhà đẹp cạnh cầu vượt an khánh 42m2 4 tầng ô tô vào nhà giá 5,2x tỷ"
"6 PN • Nhà mặt phố, mặt tiền","Quận Ba Đình • hôm qua","5,6 tỷ","192 tr/m²","29 m²","PHỐ NGỌC HÀ-KINH DOANH Ô TÔ TRÁNH-THANG MÁY-GARA Ô TÔ-60M-MT 5.5M"
"3 PN • Nhà ngõ, hẻm","Quận Long Biên • hôm qua","5,6 tỷ","192 tr/m²","29 m²","NHÀ PHỐ NGỌC LÂM, LONG BIÊN, 17M x 5 TẦNG, GIÁ CHỈ CÓ 3 TỶ"
"Đất thổ cư • Ngang 10 m","Huyện Quốc Oai • hôm qua","5,6 tỷ","192 tr/m²","29 m²","Gia Đình em muốn bán mảnh đất nghỉ dưỡng view hồ"
"4 PN • Nhà ngõ, hẻm","Quận Hoàng Mai • hôm qua","5,6 tỷ","192 tr/m²","29 m²","Bán nhà Định Công Hạ, Hoàng Mai 34m* 4tầng gần ô tô đỗ, gần phố"
"Đất thổ cư • Ngang 6 m","Huyện Thanh Trì • hôm qua","5,6 tỷ","192 tr/m²","29 m²","Bán đất chưa sổ Thôn Đại Lan- Duyên Hà -Thanh Trì - Hà Nội."
"Mặt bằng kinh doanh","Quận Nam Từ Liêm • hôm qua","5,6 tỷ","192 tr/m²","29 m²","Chính Chủ Cần Bán Gấp Tòa Nhà Văn Phòng Phố Nguyễn Hoàng"
"Đất thổ cư","Quận Hà Đông • hôm qua","5,6 tỷ","192 tr/m²","29 m²","Bán đất Yên Nghĩa- Hà Đông- 62m- ngõ ô tô- gần vành đai 4- xây CCMN cự"
"3 PN • Chung cư","Quận Thanh Xuân • hôm qua","5,6 tỷ","192 tr/m²","29 m²","Hạ Giá - Bán Gấp căn hộ 82m2, 3PN Full NT chung cưLicogi13 Tower"
"4 PN • Nhà ngõ, hẻm","Quận Hoàng Mai • hôm qua","5,6 tỷ","192 tr/m²","29 m²","HOÀNG MAI, 46m * 5 TẦNG MT QUYỀN LỰC, ÔTÔ - SỔ ĐỎ RIÊNG ĐẸP"
"5 PN • Nhà mặt phố, mặt tiền","Quận Bắc Từ Liêm • hôm qua","5,6 tỷ","192 tr/m²","29 m²","MẶT PHỐ TĂNG THIẾT GIÁP - ÔTÔ TRÁNH - KD -VĂN PHÒNG -VỊ TRÍ ĐẸP"
"3 PN • Nhà ngõ, hẻm","Quận Bắc Từ Liêm • hôm qua","5,6 tỷ","192 tr/m²","29 m²","SIÊU PHẨM CỔ NHUẾ - HÀNG ĐẸP- Ở LUÔN- SỔ VUÔNG VẮN- 39M X 6,8 TỶ 😄"
"Đất thổ cư • Ngang 4 m","Huyện Gia Lâm • hôm qua","5,6 tỷ","192 tr/m²","29 m²","NHÀ Ở CHÍNH TRUNG,TRÂU QUỲ,DT 102M2 CHAOG 10.5 TỶ CÒN TL"
"6 PN • Nhà ngõ, hẻm","Quận Bắc Từ Liêm • hôm qua","5,6 tỷ","192 tr/m²","29 m²","BÁN NHÀ CỔ NHUẾ - PHÂN LÔ - Ô TÔ ĐỖ CỬA - KINH DOANH - 55M X 13,9 TỶ"
"4 PN • Nhà ngõ, hẻm","Quận Cầu Giấy • hôm qua","5,6 tỷ","192 tr/m²","29 m²","BÁN NHÀ CẦU GIẤY - GẦN PHỐ - NGÕ THÔNG- BAGAC ĐỖ CỬA - 32M -6.350 TỶ"
"3 PN • Nhà mặt phố, mặt tiền","Quận Thanh Xuân • hôm qua","5,6 tỷ","192 tr/m²","29 m²","MẶT PHỐ GIÁP NHẤT 11 tỷ"
"3 PN • Nhà ngõ, hẻm","Quận Hoàng Mai • hôm qua","5,6 tỷ","192 tr/m²","29 m²","Bán nhà Phố Kim Giang, 27m* 4tầng, gần ô tô đỗ, Hàng xóm KĐT Linh Đàm"
"Đất thổ cư • Ngang 6 m","Huyện Phú Xuyên • hôm qua • Tin ưu tiên","2,9 tỷ","25 tr/m²","116 m²","Bán gấp đất đấu giá Đồng phố Tân dân phú Xuyên"
"5 PN • Nhà ngõ, hẻm","Quận Hai Bà Trưng • 22 giờ trước • Tin ưu tiên","2,9 tỷ","25 tr/m²","116 m²","Bán nhà phố Bạch Mai- 5 tầng dân xây- ngõ nông rộng- 34m2- 7.4 tỷ"
"6 PN • Hướng Tây Nam • Nhà ngõ, hẻm","Quận Long Biên • hôm qua • Tin ưu tiên","2,9 tỷ","25 tr/m²","116 m²","chính chủ bán nhà 33 ngõ 38 tư đình long biên"
"3 PN • Chung cư","Quận Nam Từ Liêm • hôm qua • Tin ưu tiên","2,9 tỷ","25 tr/m²","116 m²","(CĂN GÓC LỚN)S402 3n+1 98m full n.thất, view trường học thoáng giá tốt"
"2 PN • Căn hộ dịch vụ, mini","Quận Thanh Xuân • 5 ngày trước • Tin ưu tiên","2,9 tỷ","25 tr/m²","116 m²","CH NGUYỄN TRÃI - NGÃ TƯ SỞ 34m,52m, FULL NỘI THẤT"
"Đất thổ cư • Ngang 10 m","Huyện Quốc Oai • 7 phút trước • Tin nổi bật","2,9 tỷ","25 tr/m²","116 m²","CHỦ ĐẤT CẦN BÁN 170M2 TRÁN VOI, PHÚ MÃN QUỐC OAI, HÀ NỘI"
"4 PN • Hướng Tây • Nhà ngõ, hẻm","Quận Long Biên • 9 phút trước","2,9 tỷ","25 tr/m²","116 m²","CẦN BÁN NHÀ THẠCH BÀN LONG BIÊN HÀ NỘI."
"3 PN • Hướng Bắc • Chung cư","Quận Bắc Từ Liêm • 16 phút trước • Tin nổi bật","2,9 tỷ","25 tr/m²","116 m²","Căn hộ Chung cư N03 T1"
"3 PN • Nhà ngõ, hẻm","Quận Đống Đa • 17 phút trước","2,9 tỷ","25 tr/m²","116 m²","Nhà 5T đẹp ngõ Hào Nam cách oto 60m ngõ thông 2,5m xe ba gác gần phố"
"4 PN • Nhà ngõ, hẻm","Quận Đống Đa • 17 phút trước","2,9 tỷ","25 tr/m²","116 m²","Căn góc 4T ngõ Khương Thượng ngõ thông 2,5m kd nhỏ cách oto 80m"
"6 PN • Nhà ngõ, hẻm","Quận Đống Đa • 18 phút trước","2,9 tỷ","25 tr/m²","116 m²","Căn góc 5T hai mặt ngõ phố Tôn Thất Tùng-Đại Học Y cách Mp 60m kd tốt"
"8 PN • Nhà mặt phố, mặt tiền","Quận Thanh Xuân • 19 phút trước","2,9 tỷ","25 tr/m²","116 m²","Mặt phố Vũ Tông Phan 86m2 10T – Thang máy – Thông sàn – Thoáng sau"
"4 PN • Hướng Tây Nam • Nhà ngõ, hẻm","Quận Đống Đa • 19 phút trước • Tin nổi bật","2,9 tỷ","25 tr/m²","116 m²","68m2 x 4 tầng, 4 ngủ hiện đại, ngõ 41 Thái Hà, Đống Đa sổ đỏ chính chủ"
"Đất thổ cư • Ngang 6.7 m","Huyện Đông Anh • 23 phút trước","2,9 tỷ","25 tr/m²","116 m²","Vị trí đắc địa thôn Đại Đồng ngõ nhựa 4m mặt sau mở đường rộng 30m"
"3 PN • Nhà mặt phố, mặt tiền","Quận Hà Đông • 26 phút trước","2,9 tỷ","25 tr/m²","116 m²","MẶT CHỢ CẦU ĐƠ - KINH DOANH NGON - GIÁ ĐẦU TƯ - 39M2 - 9,X TỶ"
"5 PN • Nhà ngõ, hẻm","Quận Hoàng Mai • 26 phút trước","2,9 tỷ","25 tr/m²","116 m²","Bán nhà Định Công Thượng, Hoàng Mai 32m* 5tầng, gần ô tô đỗ, gần phố"
"6 PN • Nhà phố liền kề","Quận Hà Đông • 27 phút trước","2,9 tỷ","25 tr/m²","116 m²","KHU ĐÔ THỊ MỚI VĂN KHÊ + KINH DOANH SẦM UẤT HIỆN CHỦ ĐANG CHO THUÊ"
"4 PN • Nhà phố liền kề","Quận Cầu Giấy • 28 phút trước","2,9 tỷ","25 tr/m²","116 m²","🌟CĂN HIẾM! SIÊU PHẨM PHÂN LÔ NHÀ PHỐ TRUNG KÍNH 65M2 - 2 THOÁNG Ở NGAY"
"3 PN • Nhà ngõ, hẻm","Huyện Thanh Trì • 31 phút trước • Tin nổi bật","2,9 tỷ","25 tr/m²","116 m²","chính chủ cần bán nhà xây mới tại ngõ 36 Tả Thanh Oai"
"4 PN • Hướng Tây • Nhà mặt phố, mặt tiền","Quận Hoàng Mai • 32 phút trước • Tin nổi bật","2,9 tỷ","25 tr/m²","116 m²","siêu phẩm mặt phố 60 m 4,5 T có T máy chỉ nhỉnh 16 Tỷ ở pThanh Tri"
"4 PN • Nhà mặt phố, mặt tiền","Quận Thanh Xuân • 34 phút trước","2,9 tỷ","25 tr/m²","116 m²","(96m2– Mt 5m ) Mặt phố Bùi Xương Trạch 5T– Nhà mới – Full nội thất xịn"
"5 PN • Nhà mặt phố, mặt tiền","Huyện Hoài Đức • 34 phút trước","2,9 tỷ","25 tr/m²","116 m²","CẦN BÁN NHÀ GẦN TRỊNH VĂN BÔ 36M2-LÔ GÓC-5 TẦNG- CÁCH NHÀ Ô TÔ-6,7 TỶ"
"4 PN • Nhà ngõ, hẻm","Quận Ba Đình • 34 phút trước","2,9 tỷ","25 tr/m²","116 m²","BÁN NHÀ ĐỘI CẤN - BA ĐÌNH - 68M² - 4 TẦNG - MT 4,3M - GIÁ CHỈ 12,2 TỶ"
"2 PN • Nhà ngõ, hẻm","Quận Hai Bà Trưng • 36 phút trước","2,9 tỷ","25 tr/m²","116 m²","Bán Nhà Đại La, Hai Bà Trưng, Full Nội Thất, Sổ Đỏ CC, 15m2, 2.78 Tỷ"
"4 PN • Nhà mặt phố, mặt tiền","Quận Tây Hồ • 39 phút trước","2,9 tỷ","25 tr/m²","116 m²","MẶT PHỐ TÂY HỒ 75m MT4.79m NHÀ 6 TẦNG GIÁ 15TY5"
"3 PN • Nhà ngõ, hẻm","Quận Long Biên • hôm qua","3 tỷ","176 tr/m²","17 m²","NHÀ PHỐ NGỌC LÂM, LONG BIÊN, 17M x 5 TẦNG, GIÁ CHỈ CÓ 3 TỶ"
"Đất thổ cư • Ngang 10 m","Huyện Quốc Oai • hôm qua","3 tỷ","176 tr/m²","17 m²","Gia Đình em muốn bán mảnh đất nghỉ dưỡng view hồ"
"4 PN • Nhà ngõ, hẻm","Quận Hoàng Mai • hôm qua","3 tỷ","176 tr/m²","17 m²","Bán nhà Định Công Hạ, Hoàng Mai 34m* 4tầng gần ô tô đỗ, gần phố"
"Đất thổ cư • Ngang 6 m","Huyện Thanh Trì • hôm qua","3 tỷ","176 tr/m²","17 m²","Bán đất chưa sổ Thôn Đại Lan- Duyên Hà -Thanh Trì - Hà Nội."
"Mặt bằng kinh doanh","Quận Nam Từ Liêm • hôm qua","3 tỷ","176 tr/m²","17 m²","Chính Chủ Cần Bán Gấp Tòa Nhà Văn Phòng Phố Nguyễn Hoàng"
"Đất thổ cư","Quận Hà Đông • hôm qua","3 tỷ","176 tr/m²","17 m²","Bán đất Yên Nghĩa- Hà Đông- 62m- ngõ ô tô- gần vành đai 4- xây CCMN cự"
"3 PN • Chung cư","Quận Thanh Xuân • hôm qua","3 tỷ","176 tr/m²","17 m²","Hạ Giá - Bán Gấp căn hộ 82m2, 3PN Full NT chung cưLicogi13 Tower"
"4 PN • Nhà ngõ, hẻm","Quận Hoàng Mai • hôm qua","3 tỷ","176 tr/m²","17 m²","HOÀNG MAI, 46m * 5 TẦNG MT QUYỀN LỰC, ÔTÔ - SỔ ĐỎ RIÊNG ĐẸP"
"5 PN • Nhà mặt phố, mặt tiền","Quận Bắc Từ Liêm • hôm qua","3 tỷ","176 tr/m²","17 m²","MẶT PHỐ TĂNG THIẾT GIÁP - ÔTÔ TRÁNH - KD -VĂN PHÒNG -VỊ TRÍ ĐẸP"
"3 PN • Nhà ngõ, hẻm","Quận Bắc Từ Liêm • hôm qua","3 tỷ","176 tr/m²","17 m²","SIÊU PHẨM CỔ NHUẾ - HÀNG ĐẸP- Ở LUÔN- SỔ VUÔNG VẮN- 39M X 6,8 TỶ 😄"
"Đất thổ cư • Ngang 4 m","Huyện Gia Lâm • hôm qua","3 tỷ","176 tr/m²","17 m²","NHÀ Ở CHÍNH TRUNG,TRÂU QUỲ,DT 102M2 CHAOG 10.5 TỶ CÒN TL"
"6 PN • Nhà ngõ, hẻm","Quận Bắc Từ Liêm • hôm qua","3 tỷ","176 tr/m²","17 m²","BÁN NHÀ CỔ NHUẾ - PHÂN LÔ - Ô TÔ ĐỖ CỬA - KINH DOANH - 55M X 13,9 TỶ"
"4 PN • Nhà ngõ, hẻm","Quận Cầu Giấy • hôm qua","3 tỷ","176 tr/m²","17 m²","BÁN NHÀ CẦU GIẤY - GẦN PHỐ - NGÕ THÔNG- BAGAC ĐỖ CỬA - 32M -6.350 TỶ"
"3 PN • Nhà mặt phố, mặt tiền","Quận Thanh Xuân • hôm qua","3 tỷ","176 tr/m²","17 m²","MẶT PHỐ GIÁP NHẤT 11 tỷ"
"3 PN • Nhà ngõ, hẻm","Quận Hoàng Mai • hôm qua","3 tỷ","176 tr/m²","17 m²","Bán nhà Phố Kim Giang, 27m* 4tầng, gần ô tô đỗ, Hàng xóm KĐT Linh Đàm"
"4 PN • Nhà mặt phố, mặt tiền","Quận Bắc Từ Liêm • hôm qua","3 tỷ","176 tr/m²","17 m²","HÀNG CỰC NÓNG - PVĐ- NGOẠI GIAO ĐOÀN - LÔ GỐC- ÔTÔ ĐỖ CỬA"
"4 PN • Nhà ngõ, hẻm","Huyện Thanh Trì • hôm qua","3 tỷ","176 tr/m²","17 m²","Bán nhà 4 tầng gần 40m2 Ủy Ban huyện Thanh Trì gần CHỈ 5.x tỷ"
"3 PN • Nhà mặt phố, mặt tiền","Quận Hà Đông • hôm qua","3 tỷ","176 tr/m²","17 m²","MẶT PHỐ QUANG TRUNG HÀ ĐÔNG, 37M, 5T, MT3,2M, GIÁ 12,8 TỶ"
"4 PN • Nhà ngõ, hẻm","Quận Bắc Từ Liêm • hôm qua","3 tỷ","176 tr/m²","17 m²","CẦN TIỀN - BÁN GẤP NHÀ THUỴ PHƯƠNG-LÔ GÓC -ÔTO-SÁT PHỐ- 45MX 6,2 TỶ"
"3 PN • Nhà ngõ, hẻm","Quận Hà Đông • hôm qua","3 tỷ","176 tr/m²","17 m²","NHÀ CẦU ĐƠ 5 HÀ ĐÔNG, 39M, 5T, MT4,5M, 10,5 TỶ"
"Đất thổ cư • Ngang 4 m","Quận Hà Đông • 3 ngày trước","12 tỷ","240 tr/m²","50 m²","Chính chủ cần bán khu C Yên Nghĩa 50m2 đối diện nhà Văn Hoá"
"4 PN • Nhà ngõ, hẻm","Quận Thanh Xuân • 3 ngày trước","12 tỷ","240 tr/m²","50 m²","Cực Nét ! Nhà phố Vũ Trọng Phụng - Ngõ Nông Sát Phố - Nội Thất Vip"
"nhiều hơn 10 PN • Nhà ngõ, hẻm","Quận Đống Đa • 3 ngày trước","12 tỷ","240 tr/m²","50 m²","Cần Bán CCDV Thái Thịnh 18 Phòng KK Ngõ Nông Thang Máy -DT 850tr/ Năm"
"4 PN • Nhà ngõ, hẻm","Quận Bắc Từ Liêm • 3 ngày trước","12 tỷ","240 tr/m²","50 m²","6,9 tỷ nhà Văn Tiến Dũng-45m2- 4 tầng- oto cách 30m- full nội thất"
"4 PN • Nhà ngõ, hẻm","Quận Hà Đông • 3 ngày trước","12 tỷ","240 tr/m²","50 m²","BÁN NHÀ VẠN PHÚC, 45M2, THANG MÁY, Ô TÔ TRÁNH ĐỖ 15M CÁCH NHÀ"
"4 PN • Nhà ngõ, hẻm","Quận Hai Bà Trưng • 3 ngày trước","12 tỷ","240 tr/m²","50 m²","HỈNH 5 TỶ CÓ NHÀ ĐẸP VỌNG,HBT-40M RA PHỐ-25M*5T;MT5,1M;4N"
"6 PN • Nhà mặt phố, mặt tiền","Quận Long Biên • 3 ngày trước","12 tỷ","240 tr/m²","50 m²","BÁN NHÀ 918 PHÚC ĐÔNG LONG BIÊN"
"3 PN • Nhà ngõ, hẻm","Quận Đống Đa • 3 ngày trước","12 tỷ","240 tr/m²","50 m²","TÔI BÁN NHÀ 5 TẦNG NGUYỄN LƯƠNG BẰNG- TRẦN QUANG DIỆU - ĐỐNG ĐA"
"9 PN • Nhà ngõ, hẻm","Quận Hoàng Mai • 3 ngày trước","12 tỷ","240 tr/m²","50 m²","TOÀ CHUNG CƯ MINI MỚI TINH - THANG MÁY - DÒNG TIỀN KHỦNG -"
"3 PN • Nhà ngõ, hẻm","Quận Hai Bà Trưng • 3 ngày trước","12 tỷ","240 tr/m²","50 m²","HÀNG HIẾM GẦN PHỐ, KINH DOANH, Ô TÔ ĐỖ CỬA, 80M2 x 3 TẦNG CHỈ 9.2 TỶ"
"3 PN • Nhà ngõ, hẻm","Quận Đống Đa • 3 ngày trước","12 tỷ","240 tr/m²","50 m²","BÁN NHÀ P. CHÙA LÁNG, GẦN ĐẠI HỌC NGOẠI THƯƠNG: 35M, 5T, GIÁ 7.4 TỶ."
"3 PN • Nhà mặt phố, mặt tiền","Huyện Chương Mỹ • 3 ngày trước","12 tỷ","240 tr/m²","50 m²","Bán nhà 75m 3t mặt Phố Xuân mai"
"2 PN • Nhà ngõ, hẻm","Quận Hoàng Mai • 3 ngày trước","12 tỷ","240 tr/m²","50 m²","VĨNH HƯNG - DƯƠNG VĂN BÉ - Ô TÔ ĐỖ CỬA - 36M2 - 2 TẦNG - 2 NGỦ"
"3 PN • Nhà ngõ, hẻm","Quận Cầu Giấy • 3 ngày trước","12 tỷ","240 tr/m²","50 m²","Yên Hoà 37m2 x 6T thang máy - xe 5 tạ đỗ cửa - nhà đẹp - giá 9.2 tỷ"
